ref,piece,max,min,geo_point_2d,surface,price_per_m2
26.1,2,31.32,18.27,"48.8490447659431, 2.3457466001872485",20.0,39.150000000000006
25.5,2,30.6,17.85,"48.88163816729657, 2.3954401666237373",20.0,38.25
32.5,2,39.0,22.75,"48.85829990387876, 2.3015415556941874",20.0,48.75
25.7,2,30.84,17.99,"48.87993433878255, 2.3328501965554715",20.0,38.55
25.1,4,30.12,17.57,"48.83740588522813, 2.3633186351497177",40.0,18.825000000000003
33.0,1,39.6,23.1,"48.84271125032415, 2.3107774536393966",10.0,99.0
25.1,3,30.12,17.57,"48.8490447659431, 2.3457466001872485",30.0,25.1
39.3,1,47.16,27.51,"48.85526326937375, 2.3255876525808024",10.0,117.89999999999999
25.7,2,30.84,17.99,"48.83373367612219, 2.3476730460658106",20.0,38.55
30.5,1,36.6,21.35,"48.850622342726865, 2.252276907538065",10.0,91.5
32.9,1,39.48,23.03,"48.85852137232379, 2.3516669671389687",10.0,98.7
23.3,3,27.96,16.31,"48.87103473909125, 2.406171530151038",30.0,23.3
24.0,1,28.8,16.8,"48.894012169582226, 2.3643867790293243",10.0,72.0
25.8,3,30.96,18.06,"48.83906040108164, 2.2780763469189345",30.0,25.8
27.5,2,33.0,19.25,"48.83906040108164, 2.2780763469189345",20.0,41.25
18.9,3,22.68,13.23,"48.87103473909125, 2.406171530151038",30.0,18.9
24.3,2,29.16,17.01,"48.82312780567426, 2.352433149542824",20.0,36.45
29.0,4,34.8,20.3,"48.867074492185395, 2.3086516846814",40.0,21.75
32.4,1,38.88,22.68,"48.84271125032415, 2.3107774536393966",10.0,97.19999999999999
30.9,3,37.08,21.63,"48.85528871996157, 2.3336568680904577",30.0,30.900000000000002
26.6,4,31.92,18.62,"48.82665262554388, 2.3264369992249008",40.0,19.950000000000003
23.3,4,27.96,16.31,"48.823452771575106, 2.337070179863054",40.0,17.475
24.6,4,29.52,17.22,"48.88117755028415, 2.289963738115156",40.0,18.45
28.2,4,33.84,19.74,"48.85526326937375, 2.3255876525808024",40.0,21.15
27.2,1,32.64,19.04,"48.894012169582226, 2.3643867790293243",10.0,81.6
28.4,2,34.08,19.88,"48.85209650697998, 2.3887648336025635",20.0,42.599999999999994
37.2,1,44.64,26.04,"48.85438440363996, 2.340035371130514",10.0,111.60000000000001
26.0,3,31.2,18.2,"48.869306638088744, 2.3334318076581146",30.0,26.0
27.9,3,33.48,19.53,"48.87354738020911, 2.332268868869704",30.0,27.9
26.3,2,31.56,18.41,"48.859192412713874, 2.3632050573309638",20.0,39.449999999999996
19.7,4,23.64,13.79,"48.89166759106752, 2.3459787545931863",40.0,14.775
26.4,2,31.68,18.48,"48.8379956461218, 2.4331784419569793",20.0,39.599999999999994
24.1,3,28.92,16.87,"48.823452771575106, 2.337070179863054",30.0,24.1
25.0,3,30.0,17.5,"48.87354738020911, 2.332268868869704",30.0,25.0
26.3,4,31.56,18.41,"48.867018590627694, 2.328581664931248",40.0,19.724999999999998
26.2,2,31.44,18.34,"48.83429362836976, 2.296919974448867",20.0,39.300000000000004
26.1,4,31.32,18.27,"48.8490447659431, 2.3457466001872485",40.0,19.575000000000003
26.3,4,31.56,18.41,"48.851585175021285, 2.3647679538731117",40.0,19.724999999999998
23.9,4,28.68,16.73,"48.86371948395739, 2.395272820760115",40.0,17.924999999999997
26.1,4,31.32,18.27,"48.862557245043206, 2.354851518245669",40.0,19.575000000000003
25.4,4,30.48,17.78,"48.847800629292664, 2.3363388275876775",40.0,19.05
34.1,1,40.9,23.9,"48.86065013520993, 2.3349103292801994",10.0,102.30000000000001
27.1,3,32.5,19.0,"48.850171655497846, 2.291852642697574",30.0,27.1
24.2,1,29.0,16.9,"48.854760283035255, 2.407430328235969",10.0,72.6
31.0,1,37.2,21.7,"48.83740588522813, 2.3633186351497177",10.0,93.0
25.4,3,30.5,17.8,"48.862557245043206, 2.354851518245669",30.0,25.4
26.7,4,32.0,18.7,"48.867018590627694, 2.328581664931248",40.0,20.025
27.7,2,33.2,19.4,"48.830359242366505, 2.428826815083849",20.0,41.55
32.9,1,39.48,23.03,"48.86228910809422, 2.3448988583110166",10.0,98.7
28.3,2,33.96,19.81,"48.86228910809422, 2.3448988583110166",20.0,42.45
22.7,4,27.24,15.89,"48.86228910809422, 2.3448988583110166",40.0,17.025
36.0,1,43.2,25.2,"48.867018590627694, 2.328581664931248",10.0,108.0
